Floss#,Description,Red,Green,Blue,RGB code
01,White Tin,227,227,230,E3E3E6
02,Tin,215,215,216,D7D7D8
03,Medium Tin,184,184,187,B8B8BB
04,Dark Tin,174,174,177,AEAEB1
05,Light Driftwood,227,204,190,E3CCBE
06,Medium Light Driftwood,220,198,184,DCC6B8
07,Driftwood,143,123,110,8F7B6E
08,Dark Driftwood,106,80,70,6A5046
09,Very Dark Cocoa,85,32,14,552014
10,Very Light Tender Green,237,254,217,EDFED9
11,Light Tender Green,226,237,181,E2EDB5
12,Tender Green,205,217,154,CDD99A
13,Medium Light Nile Green,191,246,224,BFF6E0
14,Pale Apple Green,208,251,178,D0FBB2
15,Apple Green,209,237,164,D1EDA4
16,Light Chartreuse,201,194,88,C9C258
17,Light Yellow Plum,229,226,114,E5E272
18,Yellow Plum,217,213,109,D9D56D
19,Medium Light Autumn Gold,247,201,95,F7C95F
20,Shrimp,247,175,147,F7AF93
21,Light Alizarin,215,153,130,D79982
22,Alizarin,188,96,78,BC604E
23,Apple Blossom,237,226,237,EDE2ED
24,White Lavender,224,215,238,E0D7EE
25,Ultra Light Lavender,218,210,233,DAD2E9
26,Pale Lavender,215,202,230,D7CAE6
27,White Violet,240,238,249,F0EEF9
28,Medium Light Eggplant,144,134,169,9086A9
29,Eggplant,103,64,118,674076
30,Medium Light Blueberry,125,119,165,7D77A5
31,Blueberry,80,81,141,50518D
32,Dark Blueberry,77,46,138,4D2E8A
33,Fuchsia,156,89,158,9C599C
34,Dark Fuchsia,125,48,100,7D3064
35,Very Dark Fuchsia,70,5,45,46052D
